player,team,league,poacher_score,outlet_score,deep_lying_score,dribbler_score,creator_score,target_man_score,age
Umar Sadiq,Real Sociedad,ESP-La Liga,59.93196219936866,78.69557802047005,31.188746739443634,66.60061943377238,58.22620982021481,72.43787393819584,27
Dodi Lukebakio,Sevilla,ESP-La Liga,65.34583006691481,74.72740053992723,58.24691852289712,92.32905367021716,76.39565423269127,40.04458172902242,26
Isaac Bernal,Sevilla,ESP-La Liga,,,,,,,23
Lucas Ocampos,Sevilla,ESP-La Liga,41.612833775915306,78.01738869223365,57.82826180102572,86.5911703961851,68.35964594209351,60.43111710417097,29
Youssef En-Nesyri,Sevilla,ESP-La Liga,63.13827194803567,42.38516632757008,36.66186599378117,22.096255700719148,44.32250741035094,83.18586870483752,26
Diego López,Valencia,ESP-La Liga,40.15459399436882,73.24971668668219,54.377925971533045,79.57865580380091,83.55754219676861,61.134645084640674,21
Domingos André Ribeiro Almeida,Valencia,ESP-La Liga,56.829892880232634,60.3619378852092,68.7003834473801,75.68247876744701,74.65759844720799,20.48139563981868,23
Hugo Duro,Valencia,ESP-La Liga,59.512224176402114,49.7644787471078,47.16903610794768,42.05447333321771,40.70821925918334,74.39769160483482,24
Roman Yaremchuk,Valencia,ESP-La Liga,66.35480056856723,55.06570502274568,50.900091400480704,49.2881607794932,46.078732326811675,69.09703889831489,28
Selim Amallah,Valencia,ESP-La Liga,40.52878562700262,55.20562898860695,37.18983587697526,73.65118655130657,54.92758063891664,53.30541704579812,27
Alexander Sørloth,Villarreal,ESP-La Liga,75.32739682174385,74.35716906618228,40.37488601050346,62.92890775823875,73.6364683793984,72.75722697239054,28
Gerard Moreno,Villarreal,ESP-La Liga,56.26064480281523,48.929909969221555,69.84877218376744,70.26467786285252,92.13876826306475,51.231386573737744,32
Gonçalo Guedes,Villarreal,ESP-La Liga,53.29841379273776,65.68599784131995,74.7239766704047,67.4248132217846,81.07957855482631,22.240225411833865,27
José Luis Morales,Villarreal,ESP-La Liga,74.51555731223431,56.411190289722846,43.22419865348639,76.37332039704101,53.98103177092906,17.656187780797136,36
Kasper Dolberg,Anderlecht,BEL-Pro League,63.98864533355447,55.885485545558275,33.346327930107705,51.042208266066346,65.51069614522791,61.19893400196214,26
Luis Vázquez,Anderlecht,BEL-Pro League,88.83739124282127,61.16900548171351,45.72938073388342,59.55721859341556,61.769436248191326,60.06964981815188,23
George Ilenikhena,Antwerp,BEL-Pro League,85.36867355519789,70.66751724427964,22.434478942900128,55.831611086055155,53.530140101096094,73.71139511219815,17
Vincent Janssen,Antwerp,BEL-Pro League,55.99480529198748,49.811667201591995,58.17979625580715,56.1688745042171,82.46432367331555,60.50595753977793,29
Kazeem Olaigbe,Cercle Brugge,BEL-Pro League,74.63980333253629,83.5090954566129,41.91142977139549,96.48784041780868,90.34610184592148,35.004376451014956,21
Kevin Denkey,Cercle Brugge,BEL-Pro League,87.09315763864868,80.64227360874105,32.28353031314147,69.70512642361449,70.54291310336404,82.55445221811401,23
Antoine Bernier,Charleroi,BEL-Pro League,73.11607497739281,81.04797654226302,18.85625341500365,87.05650160728582,70.90819976840353,48.869238183239844,26
Oday Dabbagh,Charleroi,BEL-Pro League,60.92738415328387,70.75468019776933,41.80274026851008,70.96050699220251,67.79005670354734,60.69362983465159,25
Youssouph Badji,Charleroi,BEL-Pro League,51.129085556655426,69.73264509564672,54.77502906308691,47.7211568028315,61.425169385586976,87.31472861719367,22
Youssuf Sylla,Charleroi,BEL-Pro League,53.68102873227133,60.404223563073515,53.045914202503376,48.28551102582215,14.822554963074092,68.35972810604358,21
Jutglà,Club Brugge,BEL-Pro League,73.94336702760937,64.54713766848668,47.4996957116849,66.30618356315108,82.65645265027284,62.82065470658013,25
Thiago,Club Brugge,BEL-Pro League,80.63783816910414,64.39973204171345,24.29359466563605,58.03133650942429,69.57554978987864,74.61413108695471,22
Alfreð Finnbogason,Eupen,BEL-Pro League,47.20429508397087,53.47497747945571,63.51283819982678,57.402376791075625,80.72948878003037,55.46955980281343,35
Isaac Nuhu,Eupen,BEL-Pro League,50.00759062821809,67.96567416019293,54.06741400270616,80.35622777132461,66.6269375904519,49.336899552873035,21
Regan Charles-Cook,Eupen,BEL-Pro League,60.48051910184055,79.88554794564142,24.273994851262433,85.48692335436334,71.42351689916886,53.58836518883794,27
Andi Zeqiri,Genk,BEL-Pro League,93.26972580180981,58.52298118436722,38.12354789875585,57.5300600419825,3.534792473785002,62.93519722474872,24
Tolu Arokodare,Genk,BEL-Pro League,87.12353339367496,61.65368585422769,25.81430540346946,55.48812463568503,71.76060301837971,82.53390713508657,23
Yira Sor,Genk,BEL-Pro League,76.46173081327802,71.08527668937622,47.422339051318666,76.70802023376307,80.03987052104955,55.90042790831102,23
Gift Orban,Gent,BEL-Pro League,68.7299967876745,67.83386051032693,53.292942137922,71.09977579645434,63.54591517993967,51.362534792408944,21
Hugo Cuypers,Gent,BEL-Pro League,66.70239730592257,65.47764218251388,42.08828733084418,62.27750892311138,61.31080788524278,74.65547770908009,27
