player,team,league,Progression Score,Defensive Score,Attacking Score,age
Nicolas,América (MG),BRA-League,48.03810825266602,42.370329822668914,34.01958136735903,25
Fernando,Ath Paranaense,BRA-League,63.43704910321394,6.192548279538601,46.95041412825305,23
Lucas Esquivel,Ath Paranaense,BRA-League,71.34815592786748,69.53071422080548,60.81663358996169,21
Guilherme Arana,Atlético Mineiro,BRA-League,83.50198384325473,75.80569191789564,73.8324387309414,25
Rubens,Atlético Mineiro,BRA-League,50.02470682698215,74.6587226115557,56.367905772029914,21
Camilo Cándido,Bahia,BRA-League,56.07012614704263,53.9109014087846,69.80407965988967,27
Jhoanner Chávez,Bahia,BRA-League,49.890111732993745,15.878839671387185,50.006847493089445,20
Matheus Bahia,Bahia,BRA-League,52.82611401304421,20.53823733546738,36.65303097510277,23
Ryan Carlos,Bahia,BRA-League,59.53841906431923,27.742916599101136,45.622293187267545,20
Fernando Marçal,Botafogo (RJ),BRA-League,74.29925295923128,68.2550547469647,63.337796431646986,33
Hugo,Botafogo (RJ),BRA-League,77.73737610271161,62.48488176510261,62.48540516367817,21
Fábio Santos,Corinthians,BRA-League,83.47269350042393,57.78197956140757,51.40859588389881,37
Matheus Bidu,Corinthians,BRA-League,76.23360113883795,63.70085392959479,70.74608109481024,23
Jamerson,Coritiba,BRA-League,77.53637424806372,70.19224341830663,71.26978947721565,24
Victor Luis,Coritiba,BRA-League,69.67815070905829,61.23852634509268,66.15234724129725,29
Marlon,Cruzeiro,BRA-League,85.54089674351613,97.11774181631631,85.78695977008584,25
Patric Calmon PK,Cuiabá,BRA-League,66.75749137722835,32.19624007026597,46.47047133299226,28
Rikelme,Cuiabá,BRA-League,69.40495373382089,80.60091134302681,69.53873842404438,19
Ayrton Lucas,Flamengo,BRA-League,69.15644960571132,76.71179163823237,63.28108464519908,25
Filipe Luís,Flamengo,BRA-League,72.66904536382917,36.76373411924496,21.654920428199983,37
Diogo Barbosa,Fluminense,BRA-League,54.03501552690096,42.592890292696794,53.486391740106065,30
Marcelo,Fluminense,BRA-League,79.62580382705734,53.45274935795875,85.39561061800146,34
Bruno Pacheco,Fortaleza,BRA-League,80.65492315788684,79.01159600961057,73.64905924372755,31
Gonzalo Escobar,Fortaleza,BRA-League,46.26080817672529,40.52680149853609,40.484627316052496,25
Dieguinho,Goiás,BRA-League,63.704636327880785,37.11209216718493,60.553585837896215,27
Hugo,Goiás,BRA-League,77.48640092592638,63.16966925822069,68.85580323371711,25
Sander,Goiás,BRA-League,84.60392180809284,62.608714132644494,75.89284616573752,32
Reinaldo,Grêmio,BRA-League,81.44357186808088,65.24840872380292,92.41218337544497,33
Dalbert Henrique,Internacional,BRA-League,43.05698553596501,12.204780110266457,13.848935277622608,29
Renê,Internacional,BRA-League,100.0,82.05710914620022,79.24436401625474,30
Joaquín Piquerez,Palmeiras,BRA-League,74.55688431588555,79.29573038243939,80.25154813111047,24
Vanderlan,Palmeiras,BRA-League,36.01908460786471,49.55164879486942,50.110046287849485,20
Dodô,Santos,BRA-League,85.30222566648186,59.70772238972158,46.82648525721975,30
Kevyson,Santos,BRA-League,41.96102127414246,47.3367463248705,48.880347319657844,18
Lucas,Santos,BRA-League,70.06230455927755,35.329652925752576,22.073781928124873,21
Caio Paulista,São Paulo,BRA-League,69.13352003489547,62.909615473281235,77.79114538644849,24
Welington,São Paulo,BRA-League,71.3060484877727,43.658087211060646,54.257979167684965,21
Lucas Piton,Vasco da Gama,BRA-League,80.70504048825458,77.74352541836349,97.87105207529639,22
Weverson,Arouca,POR-League,67.57370490123789,80.3085290686012,66.50947956506796,23
Morato,Benfica,POR-League,81.47944298066828,80.03135033726635,45.95579241498788,22
Álvaro Carreras,Benfica,POR-League,57.248090711926245,44.99131287523105,40.88592839909097,20
Bruno Onyemaechi,Boavista,POR-League,58.88717310801067,77.9636999012391,75.54128274545852,24
Filipe Ferreira,Boavista,POR-League,67.66351265629389,67.17499018947302,52.213567056863475,32
Cristian Borja,Braga,POR-League,76.7313917915688,85.22921896496423,81.46309947180099,30
Sandro Cruz,Chaves,POR-League,74.13236488459495,70.22446986801347,62.32237325933987,22
Moura,Famalicão,POR-League,85.10724077298921,88.34580407110099,97.1518492508942,23
Talocha,Farense,POR-League,76.01716798833735,74.51259278863058,74.10543278674415,33
Talys Oliveira,Farense,POR-League,50.60937934290741,53.40832859529585,65.26600763736987,24
Kiko Vilas Boas,Gil Vicente FC,POR-League,36.11423973513177,21.73232286757898,24.44488516746281,23
Leonardo Buta,Gil Vicente FC,POR-League,83.76673583308461,77.24949580291353,60.42291481614237,21
Godfried Frimpong,Moreirense,POR-League,55.372847439540884,78.3182823968932,68.82130812835724,24
Pedro Amador,Moreirense,POR-League,73.88677511558295,60.84736746700796,61.206987277090455,24
