player,team,league,deep_lying_playmaker_score,ball_winner_score,dribbler_score,final_third_score,age
Tobias Kempe,Darmstadt 98,GER-Bundesliga,47.00328045794437,52.15647687209651,48.70410065067219,76.41759081276426,34
Felix Nmecha,Dortmund,GER-Bundesliga,41.66577451395632,59.462066552356404,50.0690542705084,69.74602116035523,23
Julian Brandt,Dortmund,GER-Bundesliga,61.64429779514277,59.027371311339394,74.82462223482608,80.99162556787917,28
Salih Özcan,Dortmund,GER-Bundesliga,54.267069106143886,67.20089486641221,51.178618374191906,30.791525400420085,26
Ellyes Skhiri,Eint Frankfurt,GER-Bundesliga,70.90839024860817,80.53540912143605,47.74201858596513,43.92342224601315,29
Hugo Larsson,Eint Frankfurt,GER-Bundesliga,60.60977663791274,74.3295115733392,59.09140980701489,41.761414424899286,19
Mario Götze,Eint Frankfurt,GER-Bundesliga,67.45340458442605,71.85252500776956,60.899456397763075,58.33447272253277,31
Maximilian Eggestein,Freiburg,GER-Bundesliga,84.44893356024181,79.85675154102665,77.28639609167534,56.27563251952085,27
Nicolas Höfler,Freiburg,GER-Bundesliga,73.83983391815183,78.6786609882279,56.98303529901736,21.203274886392958,34
Denis Thomalla,Heidenheim,GER-Bundesliga,37.59623121942731,20.041832201718737,22.24963681144908,48.401814928090516,31
Kevin Sessa,Heidenheim,GER-Bundesliga,53.696641387511754,39.740589883093705,66.60716454787058,80.42052645729765,23
Andrej Kramarić,Hoffenheim,GER-Bundesliga,65.72187776549701,36.304466747623934,80.97347679145625,92.6491933772319,32
Anton Stach,Hoffenheim,GER-Bundesliga,80.15716246726802,89.38136079454407,82.33528506227897,50.81177556275962,25
Finn Ole Becker,Hoffenheim,GER-Bundesliga,38.27049126120726,27.04426147200619,48.56076794469612,51.62995075234376,23
Grischa Prömel,Hoffenheim,GER-Bundesliga,64.41835318170799,66.94179086518628,64.01674741169184,62.826866594744644,29
Umut Tohumcu,Hoffenheim,GER-Bundesliga,48.99970156001323,45.91677800440224,51.7100450292168,64.06501244951073,19
Exequiel Palacios,Leverkusen,GER-Bundesliga,81.47528593044714,79.91283280522686,66.76608651570164,41.13009053185732,25
Granit Xhaka,Leverkusen,GER-Bundesliga,99.09684115840795,75.77551843120077,78.97754166963026,42.02328241656246,31
Robert Andrich,Leverkusen,GER-Bundesliga,71.93797524411964,69.20228148681002,59.83414669709815,46.94318234452543,29
Leandro Barreiro Martins,Mainz 05,GER-Bundesliga,69.67661398702171,86.86513241249293,59.73565402639196,62.09714225491637,24
Nadiem Amiri,Mainz 05,GER-Bundesliga,68.96050317227946,58.55068809317303,65.61865639352584,74.91230653632296,27
Tom Krauß,Mainz 05,GER-Bundesliga,61.351596847372846,78.23449022464256,44.07509987911556,40.25851268483506,22
Alex Král,Union Berlin,GER-Bundesliga,49.07428420799729,50.69930558437687,52.61355864265496,57.30145986756757,26
András Schäfer,Union Berlin,GER-Bundesliga,52.673135018983686,63.03460030522216,68.76999465470904,64.30470533807474,25
Aïssa Laïdouni,Union Berlin,GER-Bundesliga,53.9182623370451,56.50896159547596,61.37139996452943,58.43564332777787,27
